2025-10-18 23:14:20,ADA,0.630200,-0.50,-0.20,-0.50,⚖️ Trung tính,⚖️ Trung tính,⚖️ Trung tính,Tín hiệu trái chiều, | 419ms
2025-10-18 23:14:22,PEPE,0.000007,-0.50,0.80,-0.50,⚖️ Trung tính,⚖️ Trung tính,⚖️ Trung tính,Tín hiệu trái chiều, | 399ms
2025-10-18 23:15:10,BTC,106930.090000,-0.50,0.80,0.30,⚖️ Trung tính,⚖️ Trung tính,⚖️ Trung tính,Tín hiệu trái chiều, | 426ms
2025-10-18 23:15:11,ETH,3875.800000,1.50,0.80,-0.50,⚠️ Cảnh báo sớm: có dấu hiệu đảo chiều,⚖️ Trung tính,⚖️ Trung tính,Tín hiệu trái chiều, | 407ms
2025-10-18 23:15:13,LTC,90.860000,1.50,0.80,-0.50,⚠️ Cảnh báo sớm: có dấu hiệu đảo chiều,⚖️ Trung tính,⚖️ Trung tính,Tín hiệu trái chiều, | 409ms
2025-10-18 23:15:15,LINEA,0.017940,-1.50,-1.20,-0.50,⚠️ Cảnh báo sớm: có dấu hiệu đảo chiều,⚠️ Cảnh báo sớm: có dấu hiệu đảo chiều,⚖️ Trung tính,Tín hiệu trái chiều, | 411ms
2025-10-18 23:15:17,SOL,184.750000,-0.50,-0.20,-0.50,⚖️ Trung tính,⚖️ Trung tính,⚖️ Trung tính,Tín hiệu trái chiều, | 405ms
2025-10-18 23:15:19,BNB,1089.790000,-1.50,-0.20,-0.50,⚠️ Cảnh báo sớm: có dấu hiệu đảo chiều,⚖️ Trung tính,⚖️ Trung tính,Tín hiệu trái chiều, | 402ms
2025-10-18 23:15:20,ADA,0.630100,-0.50,-0.20,-0.50,⚖️ Trung tính,⚖️ Trung tính,⚖️ Trung tính,Tín hiệu trái chiều, | 397ms
2025-10-18 23:15:22,PEPE,0.000007,-0.50,-0.20,-0.50,⚖️ Trung tính,⚖️ Trung tính,⚖️ Trung tính,Tín hiệu trái chiều, | 410ms
2025-10-18 23:16:11,BTC,106933.760000,-0.50,0.80,0.30,⚖️ Trung tính,⚖️ Trung tính,⚖️ Trung tính,Tín hiệu trái chiều, | 410ms
2025-10-18 23:16:12,ETH,3876.660000,1.50,0.80,-0.50,⚠️ Cảnh báo sớm: có dấu hiệu đảo chiều,⚖️ Trung tính,⚖️ Trung tính,Tín hiệu trái chiều, | 406ms
2025-10-18 23:16:13,LTC,90.850000,1.50,0.80,-0.50,⚠️ Cảnh báo sớm: có dấu hiệu đảo chiều,⚖️ Trung tính,⚖️ Trung tính,Tín hiệu trái chiều, | 430ms
2025-10-18 23:16:15,LINEA,0.017940,-1.50,-1.20,-0.50,⚠️ Cảnh báo sớm: có dấu hiệu đảo chiều,⚠️ Cảnh báo sớm: có dấu hiệu đảo chiều,⚖️ Trung tính,Tín hiệu trái chiều, | 391ms
2025-10-18 23:16:17,SOL,184.710000,-0.50,-0.20,-0.50,⚖️ Trung tính,⚖️ Trung tính,⚖️ Trung tính,Tín hiệu trái chiều, | 407ms
2025-10-18 23:16:19,BNB,1089.130000,-1.50,-0.20,-0.50,⚠️ Cảnh báo sớm: có dấu hiệu đảo chiều,⚖️ Trung tính,⚖️ Trung tính,Tín hiệu trái chiều, | 405ms
2025-10-18 23:16:21,ADA,0.629500,-0.50,-0.20,-0.50,⚖️ Trung tính,⚖️ Trung tính,⚖️ Trung tính,Tín hiệu trái chiều, | 444ms
2025-10-18 23:16:23,PEPE,0.000007,-0.50,-0.20,-0.50,⚖️ Trung tính,⚖️ Trung tính,⚖️ Trung tính,Tín hiệu trái chiều, | 418ms
2025-10-18 23:17:11,BTC,106910.450000,-0.50,0.80,-0.50,⚖️ Trung tính,⚖️ Trung tính,⚖️ Trung tính,Tín hiệu trái chiều, | 410ms
2025-10-18 23:17:12,ETH,3875.990000,1.50,0.80,-0.50,⚠️ Cảnh báo sớm: có dấu hiệu đảo chiều,⚖️ Trung tính,⚖️ Trung tính,Tín hiệu trái chiều, | 404ms
2025-10-18 23:17:14,LTC,90.790000,0.50,0.80,-0.50,⚖️ Trung tính,⚖️ Trung tính,⚖️ Trung tính,Tín hiệu trái chiều, | 406ms
2025-10-18 23:17:16,LINEA,0.017920,-1.50,-1.20,-0.50,⚠️ Cảnh báo sớm: có dấu hiệu đảo chiều,⚠️ Cảnh báo sớm: có dấu hiệu đảo chiều,⚖️ Trung tính,Tín hiệu trái chiều, | 406ms
2025-10-18 23:17:18,SOL,184.650000,-0.50,-0.20,-0.50,⚖️ Trung tính,⚖️ Trung tính,⚖️ Trung tính,Tín hiệu trái chiều, | 404ms
2025-10-18 23:17:20,BNB,1088.610000,-1.50,-0.20,-0.50,⚠️ Cảnh báo sớm: có dấu hiệu đảo chiều,⚖️ Trung tính,⚖️ Trung tính,Tín hiệu trái chiều, | 411ms
2025-10-18 23:17:21,ADA,0.629400,-0.50,-0.20,-0.50,⚖️ Trung tính,⚖️ Trung tính,⚖️ Trung tính,Tín hiệu trái chiều, | 413ms
2025-10-18 23:17:23,PEPE,0.000007,-0.50,-0.20,-0.50,⚖️ Trung tính,⚖️ Trung tính,⚖️ Trung tính,Tín hiệu trái chiều, | 416ms
2025-10-18 23:18:12,BTC,106881.380000,-0.50,-0.20,-0.50,⚖️ Trung tính,⚖️ Trung tính,⚖️ Trung tính,Tín hiệu trái chiều, | 421ms
2025-10-18 23:18:12,ETH,3874.200000,1.50,0.80,-0.50,⚠️ Cảnh báo sớm: có dấu hiệu đảo chiều,⚖️ Trung tính,⚖️ Trung tính,Tín hiệu trái chiều, | 406ms
2025-10-18 23:18:14,LTC,90.760000,0.50,0.80,-0.50,⚖️ Trung tính,⚖️ Trung tính,⚖️ Trung tính,Tín hiệu trái chiều, | 406ms
2025-10-18 23:18:16,LINEA,0.017920,-1.50,-1.20,-0.50,⚠️ Cảnh báo sớm: có dấu hiệu đảo chiều,⚠️ Cảnh báo sớm: có dấu hiệu đảo chiều,⚖️ Trung tính,Tín hiệu trái chiều, | 407ms
2025-10-18 23:18:18,SOL,184.540000,-0.50,-0.20,-0.50,⚖️ Trung tính,⚖️ Trung tính,⚖️ Trung tính,Tín hiệu trái chiều, | 404ms
2025-10-18 23:18:20,BNB,1087.150000,-1.50,-0.20,-0.50,⚠️ Cảnh báo sớm: có dấu hiệu đảo chiều,⚖️ Trung tính,⚖️ Trung tính,Tín hiệu trái chiều, | 415ms
2025-10-18 23:18:22,ADA,0.628800,-0.50,-0.20,-0.50,⚖️ Trung tính,⚖️ Trung tính,⚖️ Trung tính,Tín hiệu trái chiều, | 411ms
2025-10-18 23:18:24,PEPE,0.000007,-0.50,-0.20,-0.50,⚖️ Trung tính,⚖️ Trung tính,⚖️ Trung tính,Tín hiệu trái chiều, | 409ms
2025-10-18 23:19:12,BTC,106840.530000,-0.50,-0.20,-0.50,⚖️ Trung tính,⚖️ Trung tính,⚖️ Trung tính,Tín hiệu trái chiều, | 411ms
2025-10-18 23:19:13,ETH,3872.240000,0.50,-0.00,-0.50,⚖️ Trung tính,⚖️ Trung tính,⚖️ Trung tính,Tín hiệu trái chiều, | 410ms
